ID;Startzentrum_X;Startzentrum_Y;Startzentrum_Z;Austritt_s;Linsenkontakt_s;Metallkontakt_s;Kontakt_Safranstapel_s;Ruhezustand_s;Innerhalb_Schale;Endgeschwindigkeit
saffron-0421;-0.65331;5.75851;0.07318;0.40555555555555556;;;2.3111111111111113;4.6000000000000005;true;0
saffron-0422;-0.58241;6.09362;0.04527;1.0055555555555555;;;2.9555555555555557;4.872222222222223;true;0
saffron-0423;-0.67249;5.92441;0.18141;0.47222222222222227;;;2.2444444444444445;4.605555555555556;true;0
saffron-0424;-1.06114;6.12497;-0.19936;0.9222222222222223;;4.511111111111111;2.361111111111111;5.166666666666667;true;0
saffron-0425;-0.66305;6.65074;-0.13865;1.527777777777778;;;3.088888888888889;5.822222222222223;true;0
saffron-0426;-0.41496;5.88449;0.14342;0.7666666666666667;;;2.65;4.905555555555556;true;0
saffron-0427;-0.65487;6.50865;-0.16216;1.4222222222222223;;;3.216666666666667;5.066666666666666;true;0
saffron-0428;-0.76938;6.51003;-0.01475;1.6111111111111112;;;3.4111111111111114;4.961111111111111;true;0
saffron-0429;-0.72972;6.50114;0.09384;1.5222222222222224;;;3.3666666666666667;5.366666666666667;true;0
saffron-0430;-0.44335;5.99927;-0.27579;0.6722222222222223;;4.016666666666667;2.3333333333333335;4.822222222222222;true;0
saffron-0431;-1.03571;6.25442;-0.17449;1.05;;;2.5611111111111113;5.633333333333334;true;0
saffron-0432;-0.34769;6.00769;0.16997;0.788888888888889;;;2.5500000000000003;4.794444444444444;true;0
saffron-0433;-0.46205;6.01734;0.02602;0.9166666666666667;;;2.9333333333333336;5.144444444444445;true;0
saffron-0434;-0.43461;6.08901;-0.27236;0.8388888888888889;;;2.5277777777777777;5.288888888888889;true;0
saffron-0435;-0.46272;5.78932;0.24406;0.4277777777777778;;2.088888888888889;2.25;2.7833333333333337;true;0
saffron-0436;-1.07344;6.43782;-0.10650;1.4944444444444445;;5.811111111111111;2.966666666666667;6.461111111111111;true;0
saffron-0437;-0.65285;6.43449;0.15370;1.4333333333333333;;;3.166666666666667;5.438888888888889;true;0
saffron-0438;-0.42074;6.42990;-0.10672;1.1944444444444444;;;2.716666666666667;5.122222222222223;true;0
saffron-0439;-0.73041;6.04821;0.01904;0.8;;;2.5500000000000003;4.916666666666667;true;0
saffron-0440;-0.28557;6.19962;0.16315;0.9444444444444445;;;2.65;4.8500000000000005;true;0
saffron-0441;-0.33962;5.99037;0.16613;0.7722222222222223;;;2.5500000000000003;4.622222222222223;true;0
saffron-0442;-0.51927;5.88406;-0.00570;0.7722222222222223;;;2.666666666666667;4.8500000000000005;true;0
saffron-0443;-0.48446;6.15673;0.11766;1.05;;;3.0055555555555555;5.161111111111111;true;0
saffron-0444;-1.15376;6.24838;0.04005;1.2166666666666668;;;2.8444444444444446;5.366666666666667;true;0
saffron-0445;-0.45849;5.98097;-0.11797;0.8722222222222222;;;2.8222222222222224;4.8;true;0
saffron-0446;-0.28700;6.24330;-0.12615;0.9833333333333334;;;2.6944444444444446;4.95;true;0
saffron-0447;-0.87341;5.97412;-0.03263;0.6333333333333333;;;2.3000000000000003;4.7;true;0
saffron-0448;-0.14992;6.22186;0.18448;0.6277777777777778;;;2.216666666666667;3.9833333333333334;true;0
saffron-0449;-1.02823;6.24201;0.11408;1.1611111111111112;;;2.8111111111111113;5.366666666666667;true;0
saffron-0450;-0.99259;6.42908;0.05901;1.3555555555555556;;;3.038888888888889;5.5;true;0
saffron-0451;-0.74573;6.28973;0.21575;1.2555555555555555;;;3.0500000000000003;5.238888888888889;true;0
saffron-0452;-0.46190;5.84798;0.09641;0.6777777777777778;;;2.727777777777778;4.894444444444445;true;0
saffron-0453;-0.75630;6.16584;0.09110;0.9500000000000001;;;2.7777777777777777;5.038888888888889;true;0
saffron-0454;-0.59238;6.01708;-0.06250;0.85;;;2.772222222222222;5.144444444444445;true;0
saffron-0455;-0.49947;5.91874;-0.06752;0.7277777777777779;;;2.588888888888889;4.7444444444444445;true;0
saffron-0456;-0.25849;6.07312;-0.11959;0.7111111111111111;;;2.5500000000000003;4.766666666666667;true;0
saffron-0457;-0.58037;6.43100;0.04663;1.35;;;3.2444444444444445;5.105555555555556;true;0
saffron-0458;-0.65244;6.52812;-0.16676;1.4833333333333334;;;3.138888888888889;5.616666666666667;true;0
saffron-0459;-0.57294;5.78453;0.16868;0.4166666666666667;;2.2055555555555557;2.2055555555555557;2.966666666666667;true;0
saffron-0460;-0.71940;6.62872;-0.06100;1.6611111111111112;;;3.5722222222222224;5.066666666666666;true;0
saffron-0461;-0.39283;6.38913;-0.19908;1.1777777777777778;;;3.188888888888889;5.05;true;0
saffron-0462;-0.57777;6.09646;0.19113;1.0944444444444446;;;2.938888888888889;5.261111111111111;true;0
saffron-0463;-0.66030;6.00683;-0.07575;0.8333333333333334;;;2.7055555555555557;5.055555555555555;true;0
saffron-0464;-0.27973;6.01735;-0.03593;0.7555555555555555;;;2.5055555555555555;5.033333333333333;true;0
saffron-0465;-1.00596;6.11153;0.19340;0.85;;;2.555555555555556;5.1722222222222225;true;0
saffron-0466;-0.86484;6.23657;-0.19730;1.1444444444444446;;;2.8555555555555556;5.161111111111111;true;0
saffron-0467;-0.92831;6.01134;-0.06716;0.7333333333333334;;;2.488888888888889;4.988888888888889;true;0
saffron-0468;-0.45765;5.90349;0.26187;0.6166666666666667;;4.25;2.5500000000000003;4.9;true;0
saffron-0469;-0.54076;5.77499;-0.04406;0.5222222222222223;;;2.511111111111111;4.738888888888889;true;0
saffron-0470;-0.82430;6.28935;0.22326;1.1333333333333333;;;2.8833333333333333;5.15;true;0
saffron-0471;-0.41945;6.26787;0.18343;1.1444444444444446;;;2.85;5.161111111111111;true;0
saffron-0472;-0.80280;6.53087;0.09980;1.577777777777778;;;3.405555555555556;5.077777777777778;true;0
saffron-0473;-0.50470;6.15872;0.20031;1.1444444444444446;;;3.0277777777777777;5.133333333333334;true;0
saffron-0474;-0.72444;5.92988;-0.17371;0.6777777777777778;;;2.35;4.461111111111111;true;0
saffron-0475;-0.49870;6.03890;-0.15756;0.9222222222222223;;;2.8777777777777778;5.138888888888889;true;0
saffron-0476;-0.54430;6.05275;-0.25490;0.6611111111111111;;3.916666666666667;2.15;4.583333333333334;true;0
saffron-0477;-0.59757;6.28686;-0.17430;1.2222222222222223;;;3.1;4.777777777777778;true;0
saffron-0478;-0.64970;6.02486;-0.23968;0.888888888888889;;;2.7833333333333337;4.955555555555556;true;0
saffron-0479;-0.76468;5.88200;0.25745;0.5166666666666667;;2.2111111111111112;2.2055555555555557;3.088888888888889;true;0
saffron-0480;-1.03353;6.24360;-0.20674;1.1666666666666667;;;2.9444444444444446;5.183333333333334;true;0
saffron-0481;-0.40819;6.32487;0.25423;1.1222222222222222;;;2.8333333333333335;5.577777777777778;true;0
saffron-0482;-0.85359;6.30982;0.10846;1.1611111111111112;;;2.927777777777778;5.211111111111111;true;0
saffron-0483;-1.03233;6.44823;-0.24121;1.3055555555555556;;;2.9;5.522222222222222;true;0
saffron-0484;-0.68910;5.82381;-0.26044;0.6055555555555556;;;2.3833333333333333;4.7;true;0
saffron-0485;-0.66605;5.91439;-0.14022;0.55;;;2.338888888888889;5.122222222222223;true;0
saffron-0486;-0.31688;5.98785;0.01526;0.7000000000000001;;;2.666666666666667;4.7444444444444445;true;0
saffron-0487;-0.51188;6.45361;0.25403;1.0555555555555556;;;2.666666666666667;5.55;true;0
saffron-0488;-0.20779;6.17993;0.06905;0.8611111111111112;;;2.5944444444444446;4.872222222222223;true;0
saffron-0489;-0.44923;5.78150;0.22158;0.4166666666666667;;2.022222222222222;2.0722222222222224;3.477777777777778;true;0
saffron-0490;-0.88144;6.40271;0.03049;1.35;;;3.1611111111111114;5.461111111111111;true;0
saffron-0491;-0.54379;6.52527;-0.10266;1.4666666666666668;;;3.2111111111111112;5.194444444444445;true;0
saffron-0492;-0.82131;5.89925;-0.25257;0.5444444444444445;;;2.3111111111111113;4.677777777777778;true;0
saffron-0493;-0.74027;5.98344;0.03884;0.7166666666666667;;;2.411111111111111;4.877777777777778;true;0
saffron-0494;-0.52977;6.16259;-0.05498;0.9888888888888889;;;2.9555555555555557;4.961111111111111;true;0
saffron-0495;-0.77579;6.24022;-0.18883;1.1277777777777778;;;3.0944444444444446;4.8388888888888895;true;0
saffron-0496;-0.44133;6.35939;0.16680;1.2666666666666666;;;3.0055555555555555;5.238888888888889;true;0
saffron-0497;-0.85297;6.65653;0.02219;1.7555555555555555;;;3.4333333333333336;6.783333333333333;true;0
saffron-0498;-0.71474;6.60239;-0.24419;1.3222222222222222;;;3.1222222222222222;5.955555555555556;true;0
saffron-0499;-0.86727;6.46545;-0.24213;1.4055555555555557;;;3.1;5.194444444444445;true;0
saffron-0500;-0.98375;6.05352;-0.07506;0.888888888888889;;4.877777777777778;2.511111111111111;5.144444444444445;true;0
saffron-0501;-0.86534;6.12553;-0.07219;1.038888888888889;;;2.838888888888889;4.927777777777778;true;0
saffron-0502;-0.80240;6.43265;-0.06992;1.5166666666666668;;;3.3777777777777778;5.177777777777778;true;0
saffron-0503;-0.36091;5.97926;0.24766;0.6111111111111112;;;2.4722222222222223;5.283333333333333;true;0
saffron-0504;-0.42964;6.46553;0.21701;1.3888888888888888;;;3.0055555555555555;5.894444444444445;true;0
saffron-0505;-0.90047;6.40941;0.25680;1.1777777777777778;;4.738888888888889;2.677777777777778;5.305555555555555;true;0
saffron-0506;-0.99589;6.15604;-0.27327;0.7722222222222223;;;2.4555555555555557;4.911111111111111;true;0
saffron-0507;-0.34945;6.05771;0.04951;0.8111111111111111;;;2.7;4.877777777777778;true;0
saffron-0508;-0.66109;6.56316;0.05916;1.6055555555555556;;;3.327777777777778;5.133333333333334;true;0
saffron-0509;-0.89908;6.43627;0.02128;1.4388888888888889;;;3.1611111111111114;5.355555555555556;true;0
saffron-0510;-0.63419;5.74374;-0.16967;0.47222222222222227;;2.033333333333333;2.0444444444444447;4.016666666666667;true;0
saffron-0511;-0.65480;6.41508;-0.05487;1.4555555555555557;;;3.305555555555556;5.027777777777778;true;0
saffron-0512;-1.05673;6.35267;-0.21328;1.4166666666666667;;6.027777777777778;3;6.683333333333334;true;0
saffron-0513;-1.05949;6.33785;0.12496;1.3666666666666667;;;2.9;5.9944444444444445;true;0
saffron-0514;-0.78141;6.35538;0.04790;1.3833333333333333;;;3.1722222222222225;5.027777777777778;true;0
saffron-0515;-0.43146;6.08968;0.05918;0.9666666666666667;;;2.9944444444444445;4.966666666666667;true;0
saffron-0516;-0.77337;5.89128;-0.08811;0.5166666666666667;;1.988888888888889;2.1944444444444446;3.227777777777778;true;0
saffron-0517;-0.53650;6.32663;-0.03225;1.2166666666666668;;;3.1611111111111114;4.955555555555556;true;0
saffron-0518;-0.93554;6.15124;-0.19356;1.1;;;2.7333333333333334;5.138888888888889;true;0
saffron-0519;-0.40444;6.04883;0.22889;0.8111111111111111;;4.438888888888889;2.6333333333333333;5.044444444444444;true;0
saffron-0520;-0.89640;6.23024;0.06876;1.0055555555555555;;;2.6555555555555554;5.305555555555555;true;0
saffron-0521;-0.54541;5.84100;0.06535;0.6944444444444444;;;2.5500000000000003;4.8388888888888895;true;0
saffron-0522;-0.74502;6.47288;0.16645;1.4555555555555557;;;3.2333333333333334;5.522222222222222;true;0
saffron-0523;-0.65525;6.55917;0.04520;1.5666666666666667;;;3.4944444444444445;4.977777777777778;true;0
saffron-0524;-0.50839;6.19858;-0.13450;1.1500000000000001;;;2.9444444444444446;4.983333333333333;true;0
saffron-0525;-0.32887;6.01831;0.21036;0.7833333333333333;;;2.488888888888889;4.594444444444445;true;0
saffron-0526;-0.60597;6.43251;0.20194;1.3777777777777778;;;3.1;5.655555555555556;true;0
saffron-0527;-0.47196;6.41058;-0.05502;1.3055555555555556;;;3.0944444444444446;5.183333333333334;true;0
saffron-0528;-0.31488;6.34364;0.21056;1.1222222222222222;;;2.65;4.866666666666667;true;0
saffron-0529;-0.50366;6.49909;0.02222;1.3222222222222222;;;3.0500000000000003;5.127777777777778;true;0
saffron-0530;-0.50668;6.22636;-0.13929;1.1666666666666667;;;3.1333333333333333;4.933333333333334;true;0
saffron-0531;-0.34605;6.31476;0.09540;1.1777777777777778;;;2.966666666666667;5.2;true;0
saffron-0532;-0.55853;5.99029;0.21043;0.7833333333333333;;3.7555555555555555;2.4555555555555557;4.7;true;0
saffron-0533;-0.34126;6.25429;0.05963;1.0166666666666666;;;2.9055555555555554;5.144444444444445;true;0
saffron-0534;-0.51041;6.27453;0.21639;1.1388888888888888;;;2.9944444444444445;5.116666666666667;true;0
saffron-0535;-0.61304;5.89011;0.04439;0.6222222222222222;;;2.466666666666667;4.5888888888888895;true;0
saffron-0536;-0.42284;6.23194;0.23456;1.1333333333333333;;;2.9222222222222225;5;true;0
saffron-0537;-0.23624;6.04593;0.21370;0.6444444444444445;;;2.45;4.955555555555556;true;0
saffron-0538;-0.62801;5.86613;0.13748;0.5444444444444445;0.7666666666666667;3.738888888888889;2.4444444444444446;4.4944444444444445;true;0
saffron-0539;-0.82803;6.38815;0.00263;1.4277777777777778;;;3.361111111111111;5.155555555555556;true;0
saffron-0540;-0.74683;6.14340;-0.21969;0.9611111111111111;;;2.7944444444444447;5.15;true;0
saffron-0541;-0.49081;6.23058;0.26174;0.7944444444444445;;;2.6833333333333336;4.9222222222222225;true;0
saffron-0542;-0.33352;6.36855;0.04559;1.2333333333333334;;;2.938888888888889;5.122222222222223;true;0
saffron-0543;-0.73237;6.75732;0.17462;1.6166666666666667;;5.466666666666667;3.1833333333333336;6.133333333333334;true;0
saffron-0544;-0.46729;6.48679;0.08517;1.338888888888889;;;3.0333333333333337;5.455555555555556;true;0
saffron-0545;-0.19539;6.13442;-0.24329;0.7833333333333333;;4.861111111111112;2.3777777777777778;5.233333333333333;true;0
saffron-0546;-0.84698;6.40925;-0.07433;1.3888888888888888;;;3.511111111111111;5.144444444444445;true;0
saffron-0547;-0.74842;6.55024;0.15227;1.5333333333333334;;;3.361111111111111;5.355555555555556;true;0
saffron-0548;-0.25319;5.98573;0.11479;0.6611111111111111;;;2.4944444444444445;4.772222222222222;true;0
saffron-0549;-0.94950;6.17841;0.18528;0.8777777777777778;;;2.6;4.761111111111111;true;0
saffron-0550;-1.20799;6.28293;0.23602;2.3722222222222222;;;3.777777777777778;5.511111111111111;true;0
saffron-0551;-0.97357;6.47322;0.25450;1.4222222222222223;;5.611111111111112;3.0055555555555555;6.177777777777778;true;0
saffron-0552;-0.88529;6.44136;-0.10672;1.4833333333333334;;;3.438888888888889;5.3;true;0
saffron-0553;-0.53938;5.97566;-0.01993;0.8166666666666667;;;2.7222222222222223;4.827777777777778;true;0
saffron-0554;-0.65664;6.13205;-0.25211;0.8555555555555556;;;2.4555555555555557;4.916666666666667;true;0
saffron-0555;-0.29687;5.94552;0.14179;0.6111111111111112;;3.6444444444444444;2.327777777777778;4.594444444444445;true;0
saffron-0556;-0.67151;6.45343;-0.09154;1.3833333333333333;;;3.216666666666667;5.188888888888889;true;0
saffron-0557;-0.73007;6.59534;-0.27351;1.2833333333333334;;6.155555555555556;2.85;6.177777777777778;true;0
saffron-0558;-0.91849;6.41526;-0.07086;1.4444444444444444;;;3.427777777777778;5.305555555555555;true;0
saffron-0559;-0.74628;6.45522;0.23154;1.2055555555555555;;;2.8944444444444444;5.3;true;0
saffron-0560;-0.39124;6.38066;0.25571;1.0055555555555555;;;2.6;5.344444444444445;true;0
saffron-0561;-1.06189;6.16808;0.06136;1.0944444444444446;;;2.5611111111111113;5.177777777777778;true;0
saffron-0562;-0.48575;5.84783;0.16366;0.7333333333333334;;;2.7111111111111112;4.872222222222223;true;0
saffron-0563;-0.86444;6.62839;0.01982;1.738888888888889;;;3.316666666666667;5.9944444444444445;true;0
saffron-0564;-0.96150;6.51585;0.23155;1.45;;;3.1;6.0055555555555555;true;0
saffron-0565;-0.58071;6.50508;0.20786;1.3888888888888888;;5.6000000000000005;2.916666666666667;5.95;true;0
saffron-0566;-0.15840;6.19082;0.23853;0.6888888888888889;;2.283333333333333;2.283333333333333;3.6;true;0
saffron-0567;-0.64370;6.36391;-0.28115;1.088888888888889;;;2.7;5.611111111111112;true;0
saffron-0568;-0.59438;6.42429;-0.25503;1.05;;;2.566666666666667;5.4222222222222225;true;0
saffron-0569;-0.66020;6.27875;0.16837;1.2833333333333334;;;3.138888888888889;5.3;true;0
saffron-0570;-0.27690;6.24079;-0.08796;0.9555555555555556;;;2.6166666666666667;5.027777777777778;true;0
saffron-0571;-0.96746;6.51592;0.23965;1.3333333333333335;;;2.9333333333333336;5.983333333333333;true;0
saffron-0572;-0.76198;6.24046;0.15177;0.9833333333333334;;;2.7666666666666666;4.944444444444445;true;0
saffron-0573;-0.54804;5.81128;-0.15297;0.6111111111111112;;;2.4555555555555557;4.772222222222222;true;0
saffron-0574;-0.38257;6.00143;-0.26753;0.7666666666666667;;;2.6222222222222222;4.927777777777778;true;0
saffron-0575;-0.76322;6.37260;-0.14127;1.4333333333333333;;;3.155555555555556;5.066666666666666;true;0
saffron-0576;-0.76728;6.06400;0.22576;0.8166666666666667;;;2.7111111111111112;5.033333333333333;true;0
saffron-0577;-0.41088;6.09167;0.23074;0.9500000000000001;;;2.65;5.1000000000000005;true;0
saffron-0578;-0.36888;5.85668;0.07753;0.6;;;2.338888888888889;4.75;true;0
saffron-0579;-1.09560;6.17649;0.01199;0.9111111111111111;;;2.538888888888889;5.111111111111112;true;0
saffron-0580;-0.53071;5.92831;-0.11249;0.7944444444444445;;;2.588888888888889;4.694444444444445;true;0
saffron-0581;-0.91884;6.46728;0.08693;1.5166666666666668;;;3.1833333333333336;5.455555555555556;true;0
saffron-0582;-0.89373;6.04764;0.13944;0.638888888888889;;2.4722222222222223;2.466666666666667;4.633333333333334;true;0
saffron-0583;-0.26170;6.16786;-0.09483;0.9444444444444445;;;2.6222222222222222;5.1000000000000005;true;0
saffron-0584;-0.94115;6.13439;0.06379;0.9833333333333334;;;2.588888888888889;5.105555555555556;true;0
saffron-0585;-0.65515;6.57683;-0.01631;1.5944444444444446;;;3.361111111111111;5.1000000000000005;true;0
saffron-0586;-0.57109;6.00812;0.02456;0.9444444444444445;;;2.8833333333333333;4.977777777777778;true;0
